,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
3,gomez,iso,kws,0.8,0.95,40.11526583605799,0.00021792541032870184,3.611529262030995,0.09219021267089013,16.3,177.2,269.2,186.5,-87.77103865308113,9.43813209009253e-05,0.12131134558414466,0.018803442094555176,239.5,343.7,338.3,731.1,435.8,642.0
4,gomez,iso,kws,1.0,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
5,gomez,iso,kws,1.2,0.95,40.115266064833605,0.00021792560754732988,3.837766843592535,0.09219011109558993,16.3,177.2,253.4,186.5,-87.77103860018431,9.438132997377971e-05,0.11635290643110753,0.01880344649324354,239.5,343.7,338.3,731.1,406.7,597.2
6,gomez,iso,kws,0.8,1.0,40.06403583591336,0.00020287789936230573,6.798338658484261,0.11465857255434099,16.4,197.4,286.9,206.1,-87.74971845910324,9.771662085001849e-05,0.3681033285413642,0.02937556237160568,241.0,342.9,361.0,786.6,475.2,716.1
7,gomez,iso,kws,1.0,1.0,40.064035868515795,0.0002028781315937794,7.026599527100777,0.11465844432286477,16.4,197.4,277.7,206.1,-87.7497183077163,9.77166375992807e-05,0.35238659807635336,0.029375577395216595,241.0,342.9,361.0,786.6,457.0,692.2
8,gomez,iso,kws,1.2,1.0,40.06403636133423,0.0002028782936619142,7.1719422970840245,0.11465835121723424,16.4,197.4,271.0,206.1,-87.74971821200064,9.77166520582504e-05,0.34391723670338803,0.029375588218405746,241.0,342.9,361.0,786.6,444.7,676.9
9,gomez,iso,kws,0.8,1.05,39.993610304326864,0.00018765612085320447,14.192006855498278,0.15172899896567135,16.5,216.2,308.4,224.1,-87.70921472915602,0.00010373917662052116,1.6326546673708908,0.05223034945144643,242.6,342.0,386.6,836.7,532.1,805.9
10,gomez,iso,kws,1.0,1.05,39.99361123620087,0.00018765664251864752,14.577277398471438,0.15172869641564665,16.5,216.2,298.4,224.1,-87.70921447201505,0.00010373920818287599,1.5692653442104643,0.052230419229483,242.6,342.0,386.6,836.7,513.4,788.5
11,gomez,iso,kws,1.2,1.05,39.99361229694625,0.00018765699656351966,14.82068143569862,0.15172847823744237,16.5,216.2,291.4,224.1,-87.70921426044622,0.00010373923330706814,1.5327291873676028,0.0522304652277846,242.6,342.0,386.6,836.7,500.8,777.1
12,gomez,iso,kws,0.8,1.1,39.907709706286724,0.0001735478113188743,34.46991971592852,0.22328160328535068,16.6,230.2,334.0,237.3,-87.64598749840317,0.00011261699537197688,9.670871666465716,0.10868626797839369,244.2,341.0,411.8,872.0,613.6,894.9
13,gomez,iso,kws,1.0,1.1,39.907713200318774,0.00017354910766017844,35.07510338370103,0.2232808850566201,16.6,230.2,322.7,237.3,-87.64598769300822,0.00011261696143397455,9.422063091896337,0.10868662063932064,244.2,341.0,411.8,872.0,596.4,885.3
14,gomez,iso,kws,1.2,1.1,39.907716265889476,0.00017354997685892863,35.452073278707424,0.2232803709623974,16.6,230.2,314.8,237.3,-87.64598766013293,0.00011261695737586811,9.269102182840353,0.10868686831963655,244.2,341.0,411.8,872.0,584.8,878.9
0,gomez,iso,ktrpn,0.8,0.9,40.14625154802908,0.00023224116349946847,2.1169774982831524,0.07695432308565511,16.1,158.4,245.7,170.6,-87.78032162049782,9.282164462042785e-05,0.06631580781317065,0.01323238398258149,238.2,344.1,318.3,680.2,391.6,557.0
1,gomez,iso,ktrpn,1.0,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
2,gomez,iso,ktrpn,1.2,0.9,40.15726377216177,0.00023213835624671705,2.1172154255826228,0.0769737448790936,16.2,161.1,244.2,169.1,-87.78160999758336,9.263662368735766e-05,0.06581303164840908,0.01315895387281042,238.3,344.3,320.3,678.7,389.2,553.1
3,gomez,iso,ktrpn,0.8,0.95,40.108305360238425,0.00021801287373118063,3.7516598206744525,0.09220888052500772,16.2,175.5,260.9,187.2,-87.77012921680932,9.451108227371992e-05,0.118561389464435,0.018878720809649464,239.5,343.6,337.0,731.6,419.7,617.0
4,gomez,iso,ktrpn,1.0,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
5,gomez,iso,ktrpn,1.2,0.95,40.12100323314082,0.00021786696046569956,3.7469400968639865,0.0921712424588692,16.3,178.3,259.7,186.1,-87.77165509132051,9.429329174314092e-05,0.1174554717776079,0.01875324225242554,239.5,343.7,339.2,730.7,417.6,613.1
6,gomez,iso,ktrpn,0.8,1.0,40.056285635007455,0.00020298986174296186,7.036644352913777,0.11472329273914532,16.4,195.7,278.3,206.6,-87.74872570975214,9.785571609667176e-05,0.3562486333375806,0.02950464646292716,240.9,342.8,359.5,786.8,458.1,694.2
7,gomez,iso,ktrpn,1.0,1.0,40.064035868515795,0.0002028781315937794,7.026599527100777,0.11465844432286477,16.4,197.4,277.7,206.1,-87.7497183077163,9.77166375992807e-05,0.35238659807635336,0.029375577395216595,241.0,342.9,361.0,786.6,457.0,692.2
8,gomez,iso,ktrpn,1.2,1.0,40.07020643261967,0.0002028037351525273,7.019140783290245,0.1146097060353975,16.5,198.5,277.3,205.7,-87.75039144292515,9.762227766224646e-05,0.3498332987892762,0.029289386339237156,241.0,343.0,361.9,786.5,456.2,690.9
9,gomez,iso,ktrpn,0.8,1.05,39.98600295998953,0.00018778347119713826,14.604303132708209,0.15184870546286772,16.5,214.7,298.8,224.4,-87.70833346162756,0.00010385760265594578,1.583637966576666,0.05243552550826587,242.5,341.9,385.0,836.5,514.3,789.8
10,gomez,iso,ktrpn,1.0,1.05,39.99361123620087,0.00018765664251864752,14.577277398471438,0.15172869641564665,16.5,216.2,298.4,224.1,-87.70921447201505,0.00010373920818287599,1.5692653442104643,0.052230419229483,242.6,342.0,386.6,836.7,513.4,788.5
11,gomez,iso,ktrpn,1.2,1.05,39.999390505758086,0.0001875732471431913,14.55841569818391,0.15164448614740103,16.6,217.3,298.2,223.9,-87.70981245735719,0.00010365887772730523,1.5597225309125957,0.05209326877108014,242.7,342.0,387.6,836.9,512.8,787.6
12,gomez,iso,ktrpn,0.8,1.1,39.90185009194243,0.00017366550048732694,35.12840957083297,0.2234502890699567,16.5,228.8,322.9,237.5,-87.64546168229205,0.00011268201998556082,9.471913235597095,0.10895555759387718,244.1,340.9,410.1,871.6,597.0,885.9
13,gomez,iso,ktrpn,1.0,1.1,39.907713200318774,0.00017354910766017844,35.07510338370103,0.2232808850566201,16.6,230.2,322.7,237.3,-87.64598769300822,0.00011261696143397455,9.422063091896337,0.10868662063932064,244.2,341.0,411.8,872.0,596.4,885.3
14,gomez,iso,ktrpn,1.2,1.1,39.91192995670015,0.00017347348973981963,35.03884997219583,0.2231653707047226,16.6,231.2,322.5,237.2,-87.6463444688068,0.00011257295487663411,9.388798880089274,0.10850678049281744,244.2,341.0,412.9,872.2,596.0,884.9
0,gomez,iso,Trpn50,0.8,0.9,40.15219596795506,0.00023217972983436287,3.505018403789405,0.07696998209294406,16.2,160.0,252.3,169.7,-87.78108911847441,9.271148775659446e-05,0.1128680875897836,0.013188338944042213,238.3,344.2,319.5,679.3,398.5,561.9
1,gomez,iso,Trpn50,1.0,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
2,gomez,iso,Trpn50,1.2,0.9,40.15219518928213,0.00023217916436364861,1.3871597534478557,0.07697026478076388,16.2,160.0,240.8,169.7,-87.78108900567015,9.271151188824546e-05,0.04260324769915799,0.013188352015740128,238.3,344.2,319.5,679.3,386.1,551.2
3,gomez,iso,Trpn50,0.8,0.95,40.11526764764404,0.00021792625117260495,6.134607101417825,0.09218970867014037,16.3,177.2,268.8,186.5,-87.77103919595852,9.43812360806235e-05,0.20167254148836747,0.018803397367365575,239.5,343.7,338.3,731.1,429.5,624.7
4,gomez,iso,Trpn50,1.0,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
5,gomez,iso,Trpn50,1.2,0.95,40.11526331776576,0.0002179251210958072,2.470579047281859,0.09219042158648595,16.3,177.2,255.5,186.5,-87.77103833379988,9.438143382326243e-05,0.07607219406822659,0.018803494908572457,239.5,343.7,338.3,731.1,412.9,609.8
6,gomez,iso,Trpn50,0.8,1.0,40.064040145282725,0.00020287963658502278,11.276796087016574,0.11465718786803004,16.4,197.4,288.3,206.1,-87.74972079324465,9.771627633510066e-05,0.6045561309319468,0.029375297387486947,241.0,342.9,361.0,786.6,472.7,706.6
7,gomez,iso,Trpn50,1.0,1.0,40.064035868515795,0.0002028781315937794,7.026599527100777,0.11465844432286477,16.4,197.4,277.7,206.1,-87.7497183077163,9.77166375992807e-05,0.35238659807635336,0.029375577395216595,241.0,342.9,361.0,786.6,457.0,692.2
8,gomez,iso,Trpn50,1.2,1.0,40.06403374241052,0.00020287722656801122,4.678128602387177,0.1146591694497217,16.4,197.4,271.9,206.1,-87.74971703438993,9.771682413890191e-05,0.22708763318121938,0.02937572028788082,241.0,342.9,361.0,786.6,449.0,685.0
9,gomez,iso,Trpn50,0.8,1.05,39.99362459508793,0.00018765966220042233,22.573119872852764,0.15172415403290226,16.5,216.2,311.9,224.1,-87.7092257282322,0.00010373762409207054,2.692991724468742,0.05222825570649121,242.6,342.0,386.6,836.7,537.1,808.2
10,gomez,iso,Trpn50,1.0,1.05,39.99361123620087,0.00018765664251864752,14.577277398471438,0.15172869641564665,16.5,216.2,298.4,224.1,-87.70921447201505,0.00010373920818287599,1.5692653442104643,0.052230419229483,242.6,342.0,386.6,836.7,513.4,788.5
11,gomez,iso,Trpn50,1.2,1.05,39.99360331955563,0.00018765465854456089,9.90559155832716,0.15173135904533147,16.5,216.2,290.8,224.1,-87.70920841073624,0.00010374006410135426,1.0114118313929432,0.052231558491113585,242.6,342.0,386.6,836.7,500.9,778.0
12,gomez,iso,Trpn50,0.8,1.1,39.90774847740217,0.0001735537359597468,50.34638874945153,0.22325748732297818,16.6,230.2,339.0,237.3,-87.64602812213062,0.000112611515448806,15.69485515355756,0.10866783449871294,244.2,341.0,411.8,872.0,630.2,906.0
13,gomez,iso,Trpn50,1.0,1.1,39.907713200318774,0.00017354910766017844,35.07510338370103,0.2232808850566201,16.6,230.2,322.7,237.3,-87.64598769300822,0.00011261696143397455,9.422063091896337,0.10868662063932064,244.2,341.0,411.8,872.0,596.4,885.3
14,gomez,iso,Trpn50,1.2,1.1,39.90768812104343,0.00017354524406403135,25.020074668939415,0.22329535046070595,16.6,230.2,312.6,237.3,-87.64596176762493,0.00011262045158173177,6.1624607889568255,0.1086975110137072,244.2,341.0,411.8,872.0,576.2,872.2
0,gomez,iso,gammaw,0.8,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
1,gomez,iso,gammaw,1.0,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
2,gomez,iso,gammaw,1.2,0.9,40.15219561253227,0.00023217937054836285,2.11738748226849,0.0769701636751768,16.2,160.0,244.8,169.7,-87.78108905748702,9.2711503146844e-05,0.06601324049917315,0.013188347175669904,238.3,344.2,319.5,679.3,390.2,554.7
3,gomez,iso,gammaw,0.8,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
4,gomez,iso,gammaw,1.0,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
5,gomez,iso,gammaw,1.2,0.95,40.11526541412486,0.00021792552720901616,3.7491916750811325,0.09219015630103365,16.3,177.2,260.2,186.5,-87.77103856130681,9.43813499947994e-05,0.11789547618127416,0.01880345471254035,239.5,343.7,338.3,731.1,418.4,614.6
6,gomez,iso,gammaw,0.8,1.0,40.064035868515795,0.0002028781315937794,7.026599527100777,0.11465844432286477,16.4,197.4,277.7,206.1,-87.7497183077163,9.77166375992807e-05,0.35238659807635336,0.029375577395216595,241.0,342.9,361.0,786.6,457.0,692.2
7,gomez,iso,gammaw,1.0,1.0,40.064035868515795,0.0002028781315937794,7.026599527100777,0.11465844432286477,16.4,197.4,277.7,206.1,-87.7497183077163,9.77166375992807e-05,0.35238659807635336,0.029375577395216595,241.0,342.9,361.0,786.6,457.0,692.2
8,gomez,iso,gammaw,1.2,1.0,40.064035868515795,0.0002028781315937794,7.026599527100777,0.11465844432286477,16.4,197.4,277.7,206.1,-87.7497183077163,9.77166375992807e-05,0.35238659807635336,0.029375577395216595,241.0,342.9,361.0,786.6,457.0,692.2
9,gomez,iso,gammaw,0.8,1.05,39.99361123620087,0.00018765664251864752,14.577277398471438,0.15172869641564665,16.5,216.2,298.4,224.1,-87.70921447201505,0.00010373920818287599,1.5692653442104643,0.052230419229483,242.6,342.0,386.6,836.7,513.4,788.5
