,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
6,control,dyn,rw,0.8,1.1,38.23131948056172,0.0006559220915721022,3.0836582551105836,0.22350506555214011,21.8,52.8,125.3,31.8,-87.98215983585948,7.571409688210012e-05,0.12142422390470103,0.012402695751282044,189.3,260.8,133.4,337.2,296.3,453.6
7,control,dyn,rw,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,rw,1.2,1.1,38.229220090684144,0.0006645934015032267,3.191256062345422,0.22100574746971202,21.9,51.6,118.2,37.1,-87.98098418737608,7.654581547209195e-05,0.12313076299448139,0.01585047199269315,189.3,260.7,131.3,328.5,266.0,383.4
0,control,dyn,Tref,0.8,1.0,38.277500246564784,0.0006461369281209156,2.5128420393038207,0.21428732093477929,22.3,52.2,121.9,39.9,-87.98054625971125,7.668534891032658e-05,0.0382928447796128,0.008502042424857496,189.4,260.6,132.6,335.6,266.9,399.0
1,control,dyn,Tref,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,Tref,1.2,1.0,38.2857141138422,0.0006566758506612152,2.8488058082632777,0.2099709902232873,22.5,50.5,121.2,40.3,-87.98059146797199,7.665275743335617e-05,0.05518201086670562,0.008291555388148287,189.3,260.5,130.2,332.5,273.0,408.5
3,control,dyn,Tref,0.8,1.05,38.25014030891984,0.0006496066284004267,2.6891684809868783,0.2186285309651191,22.1,52.6,121.6,38.5,-87.98082629573857,7.657479216913114e-05,0.059926549023949977,0.011322694622599709,189.4,260.7,133.0,334.8,270.0,401.9
4,control,dyn,Tref,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,Tref,1.2,1.05,38.26013674928843,0.0006600365941289692,3.0299441532441067,0.21336987238637362,22.3,50.7,120.9,39.5,-87.98087922067174,7.65268051825146e-05,0.08485266917743331,0.010899452329604703,189.3,260.6,130.5,332.5,275.4,410.0
6,control,dyn,Tref,0.8,1.1,38.225774143121626,0.0006553662502772142,2.9579335316402693,0.2270521517138292,21.7,53.2,121.2,30.6,-87.9812064550971,7.643167153133853e-05,0.10163234748852715,0.01618383467524053,189.3,260.8,133.6,332.9,274.7,406.3
7,control,dyn,Tref,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,Tref,1.2,1.1,38.23496420663391,0.0006655686607523082,3.3048117515131805,0.2186746279542795,22.0,51.1,120.6,38.0,-87.98129229926766,7.634802695420128e-05,0.1423297224160085,0.01441028518010507,189.3,260.7,130.9,331.8,279.1,412.6
0,control,dyn,cat50ref,0.8,1.0,38.235528881312156,0.0006101483149572302,2.8586237034281563,0.2285207170685959,22.0,53.7,126.8,41.0,-87.98072013393751,7.656969976753305e-05,0.07261522956936907,0.012244859949969713,189.8,261.3,138.9,352.4,286.8,422.7
1,control,dyn,cat50ref,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,cat50ref,1.2,1.0,38.33398680599743,0.0006919601546183968,2.546036909466059,0.19753260258092906,22.8,49.1,117.0,39.4,-87.98049261755938,7.671781671194335e-05,0.03180995673863659,0.006026832174692159,188.9,259.9,124.9,318.8,256.3,388.2
3,control,dyn,cat50ref,0.8,1.05,38.22068811123775,0.0006146783851259557,3.0438007551939616,0.23288243917073437,21.8,53.9,126.6,40.2,-87.98121121049807,7.63115585074991e-05,0.11614570986964591,0.01603310084621571,189.8,261.4,139.2,352.2,289.2,422.4
4,control,dyn,cat50ref,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,cat50ref,1.2,1.05,38.301691128079284,0.0006944460492486277,2.719739277584745,0.20103278741758382,22.6,49.7,116.6,38.0,-87.98068244326753,7.66496916211971e-05,0.04747697317667756,0.007702175702164845,189.0,260.0,125.3,318.6,259.2,391.7
6,control,dyn,cat50ref,0.8,1.1,38.21542017557865,0.0006217014178368002,3.3234369094841925,0.23945820436122175,21.5,54.1,126.4,39.0,-87.98181720986373,7.585090126638852e-05,0.22766265925160428,0.019649478479857107,189.7,261.5,139.7,351.1,291.4,417.7
7,control,dyn,cat50ref,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,cat50ref,1.2,1.1,38.26670632966654,0.0006982814354711747,2.982922587164393,0.20802017198327946,22.3,50.4,116.2,30.6,-87.9809160083779,7.657873498285366e-05,0.07499169463989974,0.010363949280188751,189.0,260.1,125.9,317.5,263.9,397.4
0,control,dyn,ntm,0.8,1.0,38.29736479225346,0.0006598498708154338,2.9369081024913237,0.2072284165093493,22.6,49.1,124.1,41.1,-87.98062075045648,7.661828949123642e-05,0.0830198723472827,0.007967196866406468,189.3,260.5,129.0,332.0,292.0,431.2
1,control,dyn,ntm,1.0,1.0,38.28179497354827,0.0006520790218564944,2.698752482002499,0.21186953082371104,22.4,51.2,121.5,40.2,-87.98057299725502,7.666694992356394e-05,0.04689367971978583,0.008393404236782642,189.3,260.5,131.2,333.9,270.0,404.1
2,control,dyn,ntm,1.2,1.0,38.27238491846893,0.0006435253814185083,2.4578840587132165,0.2165921479100311,22.2,53.3,120.0,39.1,-87.98053037148321,7.670155096945343e-05,0.026104388885341733,0.008657057683552764,189.4,260.6,133.5,336.1,254.9,388.9
3,control,dyn,ntm,0.8,1.05,38.276289503723476,0.0006618473055500209,3.109605968419998,0.209969543458239,22.6,49.5,123.9,40.6,-87.98087764126448,7.649402582954562e-05,0.13771757017469935,0.009681916295065958,189.3,260.6,129.4,332.3,293.3,429.1
4,control,dyn,ntm,1.0,1.05,38.255289922917726,0.0006555140841218185,2.8777908835013695,0.21565175549927282,22.2,51.6,121.2,39.1,-87.98085869807123,7.654739937507885e-05,0.07272585864528493,0.011103220480419304,189.3,260.6,131.6,333.6,272.8,406.2
5,control,dyn,ntm,1.2,1.05,38.244442229734936,0.000647749030146456,2.6434013985332743,0.22162097210133858,21.9,53.7,119.8,34.6,-87.9808022922994,7.660031608612822e-05,0.044119339709259374,0.011594260135301557,189.4,260.7,133.8,334.7,258.2,392.6
6,control,dyn,ntm,0.8,1.1,38.25381683117569,0.0006647838209680888,3.36943313085,0.21399297140950527,22.4,50.0,123.5,39.7,-87.981189307786,7.635885707807556e-05,0.2593364492827225,0.011635390923453915,189.3,260.7,129.9,332.6,294.2,423.9
7,control,dyn,ntm,1.0,1.1,38.23032654908588,0.0006611810315007177,3.149988228796829,0.2216591213303515,21.9,52.0,120.8,36.7,-87.98125937012783,7.638430114008187e-05,0.12265248054047359,0.015580098871433919,189.3,260.8,132.1,332.3,276.9,409.6
8,control,dyn,ntm,1.2,1.1,38.221440248224376,0.0006544897124581533,2.9255951184533413,0.2328573253764398,21.6,54.2,119.5,29.5,-87.98114562317487,7.648193598798432e-05,0.08130151708502618,0.016564085370582952,189.3,260.8,134.3,331.5,263.2,397.8
