,hf,mech,parameter,inc,lambda,max V,max Cai,max Ta,max CaTrpn,TT max V,TT max Cai,TT max Ta,TT max CaTrpn,min V,min Cai,min Ta,min CaTrpn,ADP40,ADP90,CATD30,CATD90,TAD50,TAD90
1,gomez,dyn,kuw,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,kuw,1.2,1.0,40.23412949621259,0.0002608054936860317,1.1263401537772144,0.0702849695985801,16.4,152.3,204.4,124.7,-87.78767551981849,9.142031372896922e-05,0.12836789065673904,0.02003883087318975,236.7,345.4,292.9,577.9,388.5,575.4
3,gomez,dyn,kuw,0.8,1.05,40.2569703875552,0.0002644470564829073,1.2965373569460312,0.07363746544897194,16.5,150.8,201.8,119.3,-87.79107029332823,9.084409376606544e-05,0.2192890153109762,0.025185944206388904,236.6,345.8,292.0,564.1,385.5,575.4
4,gomez,dyn,kuw,1.0,1.05,40.25733783399599,0.0002644487800351991,1.2955551603051063,0.07354843851911094,16.5,150.4,200.8,119.9,-87.79090903889815,9.086695649357913e-05,0.21939646513372354,0.025193428075752144,236.6,345.7,291.8,564.4,384.4,575.2
5,gomez,dyn,kuw,1.2,1.05,40.257579882342036,0.00026444964161376585,1.2948868408277816,0.07349176609428237,16.5,150.2,200.1,120.3,-87.7907997132081,9.088248113586197e-05,0.21947049458896797,0.02519850259651219,236.5,345.7,291.6,564.6,383.7,575.2
6,gomez,dyn,kuw,0.8,1.1,40.28401808030271,0.0002697017669865253,1.5600846605731475,0.07819190555844369,16.6,147.7,195.9,113.5,-87.79278995652504,9.050224839016725e-05,0.42162818646342937,0.032295797247411856,236.3,346.2,289.9,543.8,375.7,560.8
7,gomez,dyn,kuw,1.0,1.1,40.28444303354717,0.00026969090030685083,1.5589307171028186,0.07809970765978101,16.6,147.4,195.0,114.3,-87.79260967531286,9.05280220864643e-05,0.42178948977042624,0.03230306456234583,236.3,346.1,289.7,544.3,374.7,561.1
8,gomez,dyn,kuw,1.2,1.1,40.28471841760255,0.0002696844470725636,1.5581572961252197,0.07804188880592676,16.6,147.2,194.4,114.7,-87.79248694442605,9.054559411163252e-05,0.42190037583095225,0.0323080128248618,236.3,346.1,289.6,544.6,374.1,561.3
0,gomez,dyn,kws,0.8,1.0,40.232216819520666,0.00025983425934816617,1.1101768998640458,0.07098671682031239,16.4,155.5,215.5,123.3,-87.78925477340185,9.119725334719411e-05,0.12819910336958174,0.01994491130382425,236.8,345.6,295.4,578.9,405.3,594.1
1,gomez,dyn,kws,1.0,1.0,40.233912960623286,0.0002607996826655525,1.1269184723240209,0.07034028895743817,16.4,152.5,205.1,124.4,-87.78776430102634,9.140788153439365e-05,0.12834793072993456,0.020033871310320223,236.7,345.4,293.0,577.8,389.3,575.7
2,gomez,dyn,kws,1.2,1.0,40.23524460180913,0.00026140753986365493,1.1372196639168124,0.06988132810671115,16.4,150.3,197.5,125.5,-87.78685871670882,9.153479608573879e-05,0.12843527373873828,0.020087447981962214,236.6,345.3,291.3,578.2,378.7,565.8
3,gomez,dyn,kws,0.8,1.05,40.25532949855372,0.0002634598469805128,1.2793903211478876,0.07426743480683869,16.5,153.5,210.9,118.3,-87.792586892878,9.063029046370798e-05,0.21840488663500815,0.025114757767050723,236.7,345.9,294.4,565.0,399.8,588.9
